Climate,Sensitivity,Respect,Behavior,Productivity,INstruction Fromat,Content Understand,Feedback,Language,whole class,Individual,Multiple,peers,Task,School
2,2,4,5,7,3,3,5,5,51,15,5.5,9.5,18.9,1
5,6,7,6,7,7,7,6,7,44,21.5,1.9,11,21.8,2
4,3,3,6,7,3,3,3,4,42.7,22.6,20,4.8,10,1
5,5,6,3,7,5,5,7,6,32,30,7.5,20,9.9,2
4,4,4,4,7,4,4,4,4,61,13,6.6,11,8,2
6,6,7,4,7,7,7,7,7,32,7,0.2,55,5.7,2
6,6,6,4,6,6,5,7,7,38.6,41.6,0.2,18,1.6,1
2,3,2,5,5,3,2,4,2,61.5,2.2,1.3,0,29,2
5,5,4,6,6,5,5,5,4,39,23.4,11.9,6,19.4,2
2,3,4,4,7,3,4,4,4,67.5,7,0.3,23,2.2,1
2,3,3,5,3,3,4,3,3,27,46.9,0,4.9,21,2
2,5,4,5,5,4,4,4,3,49.1,2.7,0,8.1,40.1,3
4,2,3,4,5,4,6,5,3,55,16.2,6.6,18.2,4,3
2,3,3,5,6,3,5,3,3,78.7,2.3,0.8,9.2,9,3